2025-06-26T20:16:57.924679,Victory,neutral,No
2025-06-26T20:16:57.994765,Victory,neutral,No
2025-06-26T20:16:58.073698,Victory,drowsy,No
2025-06-26T20:16:58.145421,Victory,neutral,No
2025-06-26T20:16:58.213051,Victory,neutral,No
2025-06-26T20:16:58.294662,Victory,drowsy,No
2025-06-26T20:16:58.370104,Victory,drowsy,No
2025-06-26T20:16:58.451480,Victory,active,No
2025-06-26T20:16:58.525353,Victory,neutral,No
2025-06-26T20:16:58.599610,Victory,active,No
2025-06-26T20:16:58.673538,Victory,neutral,No
2025-06-26T20:16:58.744627,Victory,neutral,No
2025-06-26T20:16:58.821097,Victory,neutral,No
2025-06-26T20:16:58.901808,Victory,active,No
2025-06-26T20:16:58.984321,Victory,drowsy,No
2025-06-26T20:16:59.063198,Victory,drowsy,No
2025-06-26T20:16:59.138099,Victory,neutral,No
2025-06-26T20:16:59.215614,Victory,drowsy,No
2025-06-26T20:16:59.295220,Victory,active,No
2025-06-26T20:16:59.370046,Victory,neutral,No
2025-06-26T20:16:59.452685,Victory,drowsy,No
2025-06-26T20:16:59.531751,Victory,neutral,No
2025-06-26T20:16:59.602244,Victory,drowsy,No
2025-06-26T20:16:59.684080,Victory,neutral,No
2025-06-26T20:16:59.764590,Victory,neutral,No
2025-06-26T20:16:59.842176,Victory,active,No
2025-06-26T20:16:59.921183,Victory,active,No
2025-06-26T20:17:00.000036,Victory,neutral,No
2025-06-26T20:17:00.068291,Victory,neutral,No
2025-06-26T20:17:00.155814,Victory,active,No
2025-06-26T20:17:00.229786,Victory,neutral,No
2025-06-26T20:17:00.309728,Victory,drowsy,No
2025-06-26T20:17:00.384827,Victory,active,No
2025-06-26T20:17:00.464084,Victory,neutral,No
2025-06-26T20:17:00.533674,Victory,drowsy,No
2025-06-26T20:17:00.601608,Victory,drowsy,No
2025-06-26T20:17:00.676161,Victory,neutral,No
2025-06-26T20:17:00.761341,Victory,neutral,No
2025-06-26T20:17:00.842191,Victory,neutral,No
2025-06-26T20:17:00.914179,Victory,drowsy,No
2025-06-26T20:17:00.998170,Victory,neutral,No
2025-06-26T20:17:01.066889,Victory,active,No
2025-06-26T20:17:01.156905,Fist,drowsy,No
2025-06-26T20:17:01.214918,Fist,drowsy,No
2025-06-26T20:17:01.288698,Fist,neutral,No
2025-06-26T20:17:01.368263,Fist,neutral,No
2025-06-26T20:17:01.447080,Thumbs Up,neutral,No
2025-06-26T20:17:01.524742,Fist,drowsy,No
2025-06-26T20:17:01.599486,Fist,neutral,No
2025-06-26T20:17:03.525870,3 fingers,drowsy,No
