2025-06-26 20:02:25,Open Palm,neutral,0
2025-06-26 20:02:26,Victory,active,0
2025-06-26 20:02:27,Thumbs Up,active,1
2025-06-26 20:02:28,Fist,active,0
2025-06-26 20:02:29,Open Palm,neutral,0
2025-06-26 20:02:30,Open Palm,drowsy,0
2025-06-26 20:02:31,Fist,active,0
2025-06-26 20:02:32,Thumbs Up,drowsy,0
2025-06-26 20:02:33,Thumbs Up,drowsy,0
2025-06-26 20:02:34,Fist,neutral,0
2025-06-26 20:02:35,Fist,neutral,0
2025-06-26 20:02:36,Open Palm,active,0
2025-06-26 20:02:37,Open Palm,neutral,0
2025-06-26 20:02:38,Thumbs Up,neutral,0
2025-06-26 20:02:39,Open Palm,neutral,0
2025-06-26 20:02:40,Open Palm,drowsy,0
2025-06-26 20:02:41,Fist,neutral,0
2025-06-26 20:02:42,Thumbs Up,active,1
2025-06-26 20:02:43,Fist,active,0
2025-06-26 20:02:44,Victory,active,0
2025-06-26 20:02:45,Fist,drowsy,0
2025-06-26 20:02:46,Thumbs Up,active,1
2025-06-26 20:02:47,Victory,drowsy,0
2025-06-26 20:02:48,Open Palm,neutral,0
2025-06-26 20:02:49,Victory,neutral,0
2025-06-26 20:02:50,Victory,drowsy,0
2025-06-26 20:02:51,Fist,drowsy,0
2025-06-26 20:02:52,Fist,neutral,0
2025-06-26 20:02:53,Open Palm,neutral,0
2025-06-26 20:02:54,Fist,active,0
2025-06-26 20:02:55,Victory,active,0
2025-06-26 20:02:56,Victory,drowsy,0
2025-06-26 20:02:57,Open Palm,drowsy,0
2025-06-26 20:02:58,Victory,active,0
2025-06-26 20:02:59,Fist,neutral,0
2025-06-26 20:03:00,Open Palm,active,0
2025-06-26 20:03:01,Fist,neutral,0
2025-06-26 20:03:02,Fist,neutral,0
2025-06-26 20:03:03,Fist,active,0
2025-06-26 20:03:04,Open Palm,active,0
2025-06-26 20:03:05,Victory,active,0
2025-06-26 20:03:06,Open Palm,drowsy,0
2025-06-26 20:03:07,Open Palm,active,0
2025-06-26 20:03:08,Thumbs Up,drowsy,0
2025-06-26 20:03:09,Open Palm,drowsy,0
2025-06-26 20:03:10,Thumbs Up,drowsy,0
2025-06-26 20:03:11,Open Palm,active,0
2025-06-26 20:03:12,Thumbs Up,drowsy,0
2025-06-26 20:03:13,Open Palm,drowsy,0
2025-06-26 20:03:14,Victory,drowsy,0
2025-06-26 20:03:15,Fist,drowsy,0
2025-06-26 20:03:16,Thumbs Up,active,1
2025-06-26 20:03:17,Fist,drowsy,0
2025-06-26 20:03:18,Thumbs Up,active,1
2025-06-26 20:03:19,Thumbs Up,drowsy,0
2025-06-26 20:03:20,Open Palm,neutral,0
2025-06-26 20:03:21,Open Palm,neutral,0
2025-06-26 20:03:22,Open Palm,active,0
2025-06-26 20:03:23,Thumbs Up,neutral,0
2025-06-26 20:03:24,Open Palm,drowsy,0
2025-06-26 20:03:25,Open Palm,active,0
2025-06-26 20:03:26,Fist,drowsy,0
2025-06-26 20:03:27,Fist,drowsy,0
2025-06-26 20:03:28,Thumbs Up,drowsy,0
2025-06-26 20:03:29,Thumbs Up,active,1
2025-06-26 20:03:30,Victory,neutral,0
2025-06-26 20:03:31,Victory,neutral,0
2025-06-26 20:03:32,Open Palm,drowsy,0
2025-06-26 20:03:33,Open Palm,neutral,0
2025-06-26 20:03:34,Victory,active,0
2025-06-26 20:03:35,Thumbs Up,drowsy,0
2025-06-26 20:03:36,Victory,active,0
2025-06-26 20:03:37,Victory,neutral,0
2025-06-26 20:03:38,Victory,active,0
2025-06-26 20:03:39,Fist,active,0
2025-06-26 20:03:40,Thumbs Up,active,1
2025-06-26 20:03:41,Open Palm,active,0
2025-06-26 20:03:42,Victory,active,0
2025-06-26 20:03:43,Open Palm,drowsy,0
2025-06-26 20:03:44,Open Palm,drowsy,0
2025-06-26 20:03:45,Victory,drowsy,0
2025-06-26 20:03:46,Victory,active,0
2025-06-26 20:03:47,Victory,neutral,0
2025-06-26 20:03:48,Thumbs Up,neutral,0
2025-06-26 20:03:49,Thumbs Up,active,1
2025-06-26 20:03:50,Fist,neutral,0
2025-06-26 20:03:51,Victory,neutral,0
2025-06-26 20:03:52,Fist,neutral,0
2025-06-26 20:03:53,Fist,drowsy,0
2025-06-26 20:03:54,Victory,active,0
2025-06-26 20:03:55,Fist,drowsy,0
2025-06-26 20:03:56,Victory,neutral,0
2025-06-26 20:03:57,Fist,drowsy,0
2025-06-26 20:03:58,Thumbs Up,active,1
2025-06-26 20:03:59,Fist,drowsy,0
2025-06-26 20:04:00,Thumbs Up,neutral,0
2025-06-26 20:04:01,Open Palm,drowsy,0
2025-06-26 20:04:02,Fist,active,0
2025-06-26 20:04:03,Fist,neutral,0
2025-06-26 20:04:04,Victory,neutral,0
2025-06-26 20:06:29,Fist,neutral,0
2025-06-26 20:06:29,Thumbs Up,neutral,0
2025-06-26 20:06:29,Fist,neutral,0
2025-06-26 20:06:29,Fist,drowsy,0
2025-06-26 20:06:29,Fist,active,1
